ID,English,Chinese,TraditionalChinese,Japanese
唯一标识,英文,中文,繁体中文,日语
BACK,Back,返回,返回,戻る
ATTACK,Attack,攻击,攻擊,攻撃する
ROTATE,Rotate,旋转,旋轉,回転する
BUILD,Build,建造,建造,建造する
QUIT_GAME,Quit Game,退出游戏,退出遊戲,
LANGUAGE,Language: ,语言：,,
SCORES,Scores: ,分数：,,
GOLDS,Golds: ,金币：,,
TARGET_SCORES,Target Scores: ,目标分数：,,
SETTINGS,Settings,设置,,
HEAL,Heal,回血,,
ORES,Ores,矿石,,
TURRETS,Turrets,炮塔,,
MALL,Mall,商城,,
GAME_OVER,Game Over,游戏结束,,
GET_GOLDS,Get {0} Golds,获得{0}金币,,
MISSION_ACCOMPLISHED,Mission Accomplished,任务达成,,
MISSION_FAILED,Mission Failed,任务失败,,
PLANET_DEFENDER,Planet Defender,保卫星球,,
LEVEL_1,Level 1,第一关,,
LEVEL_2,Level 2,第二关,,
LEVEL_3,Level 3,第三关,,
OK,OK,确定,,
CHINESE,Chinese,中文,,
ENGLISH,English,英文,,
PURCHASE,Purchase,购买,,
INVENTORY,Inventory,持有物品,,
STOCK,Stock: ,库存：,,
TOTAL_COST,Total Cost: ,总价：,,

